law_id,law_name,domain_code,law_type_code,ministry_name
db1ee588-9b65-4760-8797-27264fd09b0a,가정용 섬유제품인 방한대 중 부직포 마스크 제품의 예비안전기준,ELECTRIC,NOTICE,국가기술표준원
7468b7da-53f5-4457-b550-58d6c5984ff8,공급자적합성확인대상 생활용품의 안전기준,ELECTRIC,NOTICE,국가기술표준원
7209d73a-4a91-4584-ba47-022a97d1a591,공작기계 안전기준 일반에 관한 기술상의 지침,ELECTRIC,NOTICE,고용노동부
8fadcc5d-96d2-4017-a87f-4536ad9e29ef,그 밖에 음용을 목적으로 위생안전기준 인증을 받아야 하는 수도용 자재와 제품,ELECTRIC,NOTICE,기후에너지환경부
5dc0b479-c983-41f7-87e8-9998d573f04a,기계식주차장치의 안전기준 및 검사기준 등에 관한 규정,ELECTRIC,NOTICE,국토교통부
f67b6c43-4300-4a64-b654-c1c0634d4e68,무인비행장치 특별비행을 위한 안전기준 및 승인절차에 관한 기준,ELECTRIC,NOTICE,국토교통부
d8c99729-f94a-49d4-ad6d-ebb1a7a54c97,방송통신설비의 기술기준 적합시험 결과 기록·관리 대상 방송통신설비에 관한 고시,ELECTRIC,NOTICE,과학기술정보통신부
64124729-03a5-4580-afa3-d733cc119cdf,방호장치 자율안전기준 고시,ELECTRIC,NOTICE,고용노동부
ef1fb92d-b611-4bae-b94f-24a76b6347b4,생산단계 농수산물 등의 유해물질 안전기준,ELECTRIC,NOTICE,식품의약품안전처
078ce3be-d0fe-4663-af86-bddb06afef1d,생활용품 안전기준 부적합시 처리기준,ELECTRIC,NOTICE,국가기술표준원
f847853b-9bde-46ff-893a-b0a02bbe8103,수도용 자재 및 제품의 위생안전기준 공정시험방법,ELECTRIC,NOTICE,기후에너지환경부
fcf0e129-9e9a-40e8-bca9-5715d259baac,안전기준 등록,ELECTRIC,NOTICE,행정안전부
605140de-1e33-45f5-bbe0-1e97322547ac,안전기준 등록,ELECTRIC,NOTICE,행정안전부
